,No,City,Place,Review,Rating,Name,Date,Raw_Review,Raw_Rating
2855,2856,Chennai,Ubbalamadugu Falls,tada waterfalls unknown unpopular place beautiful waterfall mts high deep hugs jungle best time yo visit place nov jan th monsoon andhra pradesh situated near tada railway station,5,Anonymous,,First of all tada waterfalls is an unknown unpopular place .but it is very beautiful waterfall about 300mts high.deep in hugs of jungle.best time yo visit this place is Nov-15 to jan 20th as that is monsoon in Andhra Pradesh.it is situated near tada(railway station)from...,gol
2856,2857,Chennai,Tirusoolanathar Temple,ancient temple located couple kilometres chennai airport temple legacy built lord brahma worship lord shiva temple serene peaceful visit accessible narrow roads pallavaram thirusoolam inner roads,5,Anonymous,,An ancient temple located couple of kilometres from Chennai airport. This temple has the legacy of being built by Lord Brahma to worship Lord Shiva. The temple is very serene and peaceful to visit. Accessible from narrow roads through Pallavaram to Thirusoolam inner roads along...,gol
2857,2858,Chennai,University of Madras,robert chisholm senate house breathtaking outside walk inside stopped desolate picture interior populated birds opens indo saracenic buildings visit hired tuk tuk morning rupees,4,Anonymous,,Robert Chisholm's Senate House is breathtaking from the outside.  Walk inside (no-one stopped me) and a desolate picture of an interior populated only by birds opens up.  Other Indo-saracenic buildings to visit (I hired a tuk tuk for a morning for 800 rupees and did...,bas
2858,2859,Chennai,Turf 137,good club indoor game road safety measures quality standard equipments environment contemporary style design,4,Anonymous,,Good club for indoor game. At the road side with all the safety measures. A quality standard equipments and environment.contemporary style design.,bas
2859,2860,Chennai,Trinity Hall,major tourist destinations place maintained transportation facility good,4,Anonymous,,This is one among the major tourist destinations. The place is maintained well. The transportation facility is very good,bas
2860,2861,Chennai,Vadapalani Murugan Temple,visited temple eve diwali timing right visiting aarti time deity taken tour entire atmosphere serene beautiful,5,Anonymous,,I visited this temple on the eve of Diwali and the timing was just right. I was visiting during aarti time and the deity was taken out for a tour. The entire atmosphere was so serene and beautiful !,gol
2861,2862,Chennai,V K Baraskar Artist & Gallery,disappointed read reviews looking forward visiting unless interested religious art buy worth journey man follows steal,2,Anonymous,,"Disappointed I read the other reviews and was looking forward to visiting, unless your interested in religious art to buy it’s not worth the journey and the man follows you around as though we might steal something.",fuk
2862,2863,Chennai,Valluvar Kottam Monument,went valluvar kottam monument valluvar kottam known great architecture built innovative layouts thought execution addition important tourist destination city valluvar kottam plays host important exhibitions events,5,Anonymous,,"I went to Valluvar Kottam Monument. Valluvar Kottam is known for its great architecture, built with innovative layouts and well-thought execution. In addition to being an important tourist destination in the city, Valluvar Kottam also plays host to some of the most important exhibitions and events...",gol
2863,2864,Chennai,Vaitheeswaran Temple,vaitheeswaran temple poovirndavalli place jasmine flower currently known poonamalee kms chennai temple dedicated lord shiva lord shiva worshipped vaidyanathar vaitheeswaran meaning god healing believed prayers vaitheeswaran,5,Anonymous,,"Vaitheeswaran Temple in Poovirndavalli,( The place of Jasmine flower) currently known as Poonamalee 20 KMs from Chennai is a temple dedicated to Lord Shiva. Lord Shiva is worshipped as Vaidyanathar or Vaitheeswaran meaning the ""God of healing"" and it is believed that prayers to Vaitheeswaran...",gol
2864,2865,Chennai,VGP Golden Beach,pay nearly entry tickets rides majority rides closed maintenance rides open big queues use charging high entry fees food water,3,Anonymous,,"You pay nearly 400/- for entry tickets for all rides, however, majority of rides will be closed or under maintenance. The very few rides that are open, will have big queues. Then what is use of charging such high entry fees. Food and water is...",dex
2865,2866,Chennai,Varadharaja Theatre,recently watched movie bigil theatre big screen crestal clear digital picture quality sound effect awesome increase space rest room snacks rates nominal close chromepet selaiyur constructing mini theatre,5,Anonymous,,Recently watched the movie BIGIL in this theatre. Big screen with crestal clear digital picture quality. Sound effect also awesome. Have to increase the space of rest room. Snacks rates are very nominal. Very close to Chromepet and Selaiyur. They also constructing mini theatre in...,gol
2866,2867,Chennai,Varasidi Vinayakar Temple,main deity vinayakar sannidhi dakshinamoorthy perumal lecture hall discourses place prasad today sundal coconut rice happy darshan lord ganesh,4,Anonymous,,"The main deity here is Vinayakar but there Sannidhi for Dakshinamoorthy and one Perumal. There is a lecture hall where discourses take place.The Prasad today was Sundal and coconut rice.
Very happy to have had darshan of this Lord Ganesh",bas
2867,2868,Chennai,Vaikuntha Perumal Temple,good krishna temple good facilities temple maintained clean neat ad tidy,5,Anonymous,,This is a very good Krishna temple  with very good facilities . The temple is maintained very clean and neat ad tidy.,gol
2868,2869,Chennai,"Vedapureeswarar temple, Thiruverkadu",ancient maintained temple visit visiting devi karumariamman temple believed built chola kings temples glorified tevaram hymns tamil saivite saints birthplace,4,Anonymous,,"This ancient and well-maintained temple is a must visit before visiting the Devi Karumariamman temple.    Believed to have been built by the Chola kings, this is one of the 275 temples glorified in the tevaram hymns of the Tamil Saivite saints, and is the birthplace...",bas
2869,2870,Chennai,Veerabhadra Swamy Temple,temple site beautiful big idols diety veerabhadra stories importance god enshrined,5,Anonymous,,The temple site is very beautiful with the big idols of diety veerabhadra. The full stories of the importance of God is enshrined here,gol
2870,2871,Chennai,Velleeswarar Temple,navagraha temple chennai shukran parihara kshetram goddess parvathi playfully closed eyes lord shiva world surrounded darkness shiva opened eye light punished parvathi born woman earth,2,Anonymous,,"Navagraha temple in Chennai – Shukran Parihara Kshetram.

Goddess Parvathi Playfully closed both the eyes of Lord Shiva and the world was surrounded by darkness. Shiva opened his third eye to give light. He punished Parvathi to be born as a woman on earth and...",fuk
2871,2872,Chennai,Veda Gallery,superior art gallery lot art work sale famous artists contemporary classical group exhibition really worth visiting,4,Anonymous,,This is a  superior  art gallery  with lot of  art work on  sale from  famous  artists  with from contemporary  and  classical  group. The  exhibition is  really worth visiting,bas
2872,2873,Chennai,Vengeeswarar Temple,going neighbourhood temple regularly nowadays quench thirst visiting temple leisurely yesterday fortunately happened day th anniversary celebration temple latest,3,Anonymous,,"As one who has been going around, in the neighbourhood of this temple regularly nowadays, I could quench my thirst for visiting the temple leisurely, only yesterday, 4/2/19, which fortunately happened to be the last day of the 4th Anniversary Celebration of the temple's latest...",dex
2873,2874,Chennai,Veltech College Of Engineering,high grade engineering college temple technical education lot student intake fledged facilities,3,Anonymous,,This is a high grade engineering college and temple of technical education with lot of student intake and also having full fledged facilities,dex
2874,2875,Chennai,VGP Marine Kingdom,location vgp ecr car parking location snow kingdom opposite road valet parking significant cost pricing definitely higher,4,Anonymous,,"Location: Next to VGP. On the ECR. There is car parking just before the location & after the Snow Kingdom as well as opposite side of the road. There is a valet parking at a significant cost.
 
Pricing: It is definitely on higher side but...",bas
2875,2876,Chennai,VGP Snow Kingdom,time visited place thoroughly enjoyed simply awesome good cool experience kids enjoyed lot definitely place worth visit loved,5,Anonymous,,This is the first time i have visited this place. I thoroughly enjoyed it. It was simply awesome. Had a very good and cool experience. Kids enjoyed a lot. Definitely a place to worth visit. Loved it!!!,gol
2876,2877,Chennai,VGP Universal Kingdom,friend came visit chennai decided vgp universal kingdom stumbling places visit chennai vgp away chennai heat traffic located near,4,Anonymous,,"I and a friend of mine came to visit Chennai and we decided to go to VGP UNIVERSAL KINGDOM ,upon stumbling on the places to visit in Chennai. 
VGP is your get away from the Chennai heat and traffic. It is located near to the...",bas
2877,2878,Chennai,Victory War Memorial,victory war memorial memorial chennai tamil nadu originally constructed commemorate victory allied armies world war later victory war memorial world war ii erected memory madras,1,Anonymous,,"Victory War Memorial is a memorial in Chennai,Tamil Nadu originally constructed to commemorate the victory of the Allied Armies during World War I (1914–1918) and later became the victory war memorial for World War II (1939–1945), erected in the memory of those from the Madras...",wil
2878,2879,Chennai,Vinyasa Art Gallery,massive place art lovers huge collection maintained beautiful paintings,5,Anonymous,,A massive place for art lovers. A huge collection which is maintained very well. Very beautiful paintings.,gol
2879,2880,Chennai,Viswaroopa Adhivyadhihara Sri Bhaktha Anjaneyaswami Temple,place situated southern suburb nanganallur temple considered special wish sincerely granted heavy crowds expected saturdays festival days,5,Anonymous,,This place is situated in the southern suburb of Nanganallur. This temple is considered very special as any wish done here sincerely is granted. Heavy crowds can be expected on Saturdays and festival days.,gol
2880,2881,Chennai,Visaga Design India,unique store chennai got art embroidery work age old traditions cultures india specially south india feast eyes watch enjoy,4,Anonymous,,This is the unique store in Chennai which had got art and embroidery work of age old traditions and cultures all across I India specially south India. Feast for the eyes to watch and enjoy,bas
2881,2882,Chennai,Vinayagar Temple,temple maintained located bit away traffic gives good feeling nature makes feel blessed,5,Anonymous,,The temple is well maintained and as it is located a bit away from the traffic it gives a very good feeling. The nature around it makes you feel blessed.,gol
2882,2883,Chennai,Vivekananda House,surely chennai historical building land mark saint vivek ananda stayed visited chennai building maintained better hope govt,5,Anonymous,,This is surely one of Chennai's most historical building and a land mark. Saint Vivek Ananda has stayed here when even he visited Chennai. Besides this the building is maintained well but could been better. I hope the govt does more.,gol
2883,2884,Chennai,Vivekananda House- Multimedia Cultural Museum,holographic movie short film confidence movie swami speech chicago world religious conference witnessed movie inspiration children activity chennai,5,Anonymous,,"A 2d holographic movie, a short film on confidence and a 3D movie on Swami's speech on the Chicago World religious conference could be witnessed. The 3D movie is inspiration for the children. This is a must-do activity in Chennai.",gol
2884,2885,Chennai,VR Chennai,plenty parking space enormous mall amazing brands big food court happy shopping,5,Anonymous,,plenty of parking space and an enormous mall! all amazing brands are there and a big food court. Happy shopping!,gol
2885,2886,Chennai,Wild Tribe Ranch,best place compared theme parks chennai loads_of_fun suggest drop like group gang makes enjoy limitless time spent really worthy,5,Anonymous,,"It was one of the best place when compared to other theme parks or whatever in and around Chennai..  had #loads_of_fun.. I suggest you to drop here like a group or gang, which makes you enjoy limitless.. 

The time spent here was really worthy, no...",gol
2886,2887,Chennai,Vivira Mall,visited house hold shopping big bazaar chain restaurants cinemas hall parking area muddy lot dust proper signage flooring good crap,3,Anonymous,,"Had visited here for house hold shopping . Could see Big bazaar and few chain of restaurants and cinemas hall . 

Nothing beyond that, Parking area was muddy with lot of dust , no proper signage, flooring was not good. 

crap",dex
2887,2888,Chennai,Welcome Shopping Mall,welcome shopping mall located nagar chennai popular showrooms food court good,5,Anonymous,,Welcome Shopping Mall located in T nagar chennai. It have most of the popular showrooms and food court was also good,gol
2888,2889,Chennai,Wallajah Mosque,walajah mosque situated triplicane high road imposing structure mosque kept clean lot space mosque ample parking wheelers wheelers mosque fully built stones,4,Anonymous,,The walajah mosque situated in Triplicane high road is an imposing structure. The mosque is well kept and clean. There is a lot of space around the mosque for ample parking of two wheelers and four wheelers. The mosque is fully built with stones and...,bas
2889,2890,Chennai,Zylnn Antiques,good antique items collectables available real good place buy antiques amazing place enjoyed,5,Anonymous,,Good antique items and collectables are available. A real good place to buy antiques. Amazing place. Enjoyed.,gol
2890,2891,Vypin Island,Ayurveda Treatment Centre,bluewaters priority th year visiting place great hospitality nice ambience beach view thing perfect,5,Anonymous,,"Bluewaters is our first priority 
It’s my 5th year have been visiting this place 

Great hospitality 
Nice ambience 
Beach view 

Every thing is perfect",gol
2891,2892,Vypin Island,Cherai Ayurvedic Bhavan Spa,good people far away place worst massage experience life massage given disrespectful way feeling massagist really want,3,Anonymous,,"Please, good people, keep yourself far away from this place. 
This was the worst massage experience in my whole life. 
First of all the “massage” was given in a very disrespectful way. I had a feeling the massagist (I really don’t want to call him/her...",dex
2892,2893,Chennai,Yoga Hyagreevar Perumal Temple,nice temple ancient temple years old good students pour blessings ohm namo venkateshaya,5,Anonymous,,very nice temple.Ancient temple 1500 years old.Good for Students he will pour his blessings.Ohm namo venkateshaya,gol
2893,2894,Vypin Island,Cherai Ayurvedic Palace,husband went relaxing ayurveda massage really impressed time felt bit unsure prices reasonable decided try practice housed,4,Anonymous,,"My husband and I went for a relaxing Ayurveda massage and we were both really impressed. It was our first time and we felt a bit unsure about it. The prices are very reasonable and we decided to try it out. 
The practice is housed...",bas
2894,2895,Vypin Island,Prakruthi Ayurveda Spa & Treatment Centre,group wonderfull treatments especialy kerala kalari foot massage jojo experiance felt like newborn shirodhara great latha footmassage long journey sitting wonderfull thank,5,Anonymous,,Me and my group had such wonderfull treatments here. Especialy the Kerala kalari foot massage from Jojo was an experiance. Felt like newborn after it. The Shirodhara was great with Latha and the footmassage after the long journey by sitting was wonderfull. Thank you very...,gol
2895,2896,Sohra,Arwah Cave,want fossils sea creatures million years ago place walk kilometere car parking scenic forest caves dark better,4,Anonymous,,"If you want to see fossils of sea creatures more than million years ago, this is the place. But for this you have to walk about one kilometere from the car parking through a scenic forest. The caves are dark so it is better to...",bas
2896,2897,Vypin Island,Yogic Paradise,hotel offers excellent greenery cottages offers special garden yoga built carmen,5,Anonymous,,This hotel offers excellent greenery with cottages. This also offers a special garden wherein one can do yoga. It was built by Carmen.,gol
2897,2898,Sohra,Dain-Thlen Falls,wonderful place n amazing falls small pool water play waterfall amazing view lucky clouds company added amazing view,5,Anonymous,,Wonderful place n Amazing falls . there’s small pool of water where one can play the waterfall has amazing view. We were lucky to have clouds for company which added to amazing view,gol
2898,2899,Sohra,Double Decker Living Root Bridge,visit takes hours reach double decker bridge awesome natural structure recommend alloying day place hours ascend hours descend plus additional hour view single root bridge double,5,Anonymous,,"A must visit,it takes 2 hours to reach the double decker bridge.Awesome natural structure.I would recommend alloying a whole day for this place.2 hours to for the ascend and 2 hours for the descend,plus an additional hour to view the single root bridge and double...",gol
2899,2900,Sohra,David Scott Memorial,internet david scott contributions community written plaque stone monument,3,Anonymous,,"There is much more on the Internet about David Scott and his contributions to the community, than is written on the plaque at the stone monument.",dex
2900,2901,Sohra,Don Bosco Shrine,largest shrines city nice experience visiting place gives mind relaxation,4,Anonymous,,This is one of the largest shrines in the city and it is a nice experience visiting this place. Gives mind relaxation.,bas
2901,2902,Sohra,Duwan Sing Syiem View Point,awesome place way cherrapunjee view place simply mesmerising,4,Anonymous,,This awesome place is on your way to Cherrapunjee and the view from this place is simply mesmerising.,bas
2902,2903,Sohra,Eco Park,travelling month november december opt gr seen monsoons,3,Anonymous,,If your travelling in the month of November- December one can opt it out as this won't be so very gr8 as seen during the Monsoons,dex
2903,2904,Sohra,First Presbyterian Church,probably church missionaries opened maintained calm peaceful inside look houses street opposite church maintain real old welsh styled houses years old,4,Anonymous,,Probably the first church the missionaries opened. Maintained very well. Calm and peaceful in the inside. Do look out for the houses on the street opposite to the church. They maintain some real old welsh styled houses which are more than 100 years old. Take...,bas
2904,2905,Sohra,Ka Khoh Ramhah,road stones bad fact road beautiful drive nonetheless stones simply awesome view stupendous,4,Anonymous,,The road to the Stones is bad...in fact there is no road at all but a beautiful drive nonetheless. The Stones are simply awesome and the view stupendous.,bas
2905,2906,Sohra,Khasi monoliths,observing road monoliths sohra large stone erected memory warriors past,3,Anonymous,,"If you keep observing on road, you will find several monoliths around Sohra. These are large stone erected in memory of warriors of past.",dex
2906,2907,Sohra,Ka Kper Syiem Sohra,local near place shillong thought good intro place brief place hours shillong roads lead small,4,Anonymous,,"I am a local of this near by place, I am from Shillong and I thought it is good enough for me to intro the place in brief. The Place is just around 3-4 hours from Shillong and the roads that lead to this small...",bas
2907,2908,Sohra,Kynrem Falls,highest falls world kynrem falls located way shella cherrapunjee road till point potholes deep gorge journey till,3,Anonymous,,It is one of the highest falls in the world. The Kynrem falls located on the way to shella from cherrapunjee. The road till the point is full of potholes with deep gorge on the other side. But the journey till there will always be...,dex
2908,2909,Sohra,Mawkdok Dympep Valley,view points gives amazing views hill greenery presents place click pics,4,Anonymous,,This is one of the view points which gives amazing views of the hill and the greenery and presents us the place to click pics,bas
2909,2910,Sohra,Krem Lawshynna,place couple family adventure trip exciting place new experience inside cave place suitable old people small kids visit st cave,4,Anonymous,,"This place is for couple and family for a adventure trip. Exciting place, you find here a new experience inside the cave. Mostly this place not suitable for very old people's and small kids. They can only visit the 1st part of the cave. This...",bas
2910,2911,Sohra,Mawmluh Cave,best attraction way cherrapungi cave maintained walikng road cave superb definitely enjoy view come main story cave long sufficient,5,Anonymous,,"This Is the one of the best attraction on the way to Cherrapungi.
The cave is very well maintained . The walikng road to the cave is superb.you'll definitely enjoy the view.
Now come to main story. The cave is long and there is sufficient...",gol
2911,2912,Sohra,Krem Phyllut,nice place spend leisure time best places state good visit nice experience,5,Anonymous,,This is a very nice place to spend leisure time. One the best places in the state. Good to visit for nice experience.,gol
2912,2913,Sohra,Mawsmai Cave,awesome able walk stalactites stalagmites rocky slippery places tricky trying small openings place lit small bulbs bright amazing people,5,Anonymous,,It was awesome to be able to walk through the stalactites and stalagmites. It was very rocky and slippery. In some places it was tricky trying to get through small openings. The place is lit with small bulbs but not very bright. Amazing the people...,gol
2913,2914,Sohra,Nohkalikai Falls,missed waterfall previous trip cherapunjee recent visit point visit marked place help local tell cab driver want visit,3,Anonymous,,"I missed this waterfall during my previous trip to cherapunjee, however during my recent visit, we made it a point to visit. Its not well marked place, hence you have to take help of local or tell your cab driver that you want to visit...",dex
2914,2915,Sohra,Nohsngithiang (Seven Sisters) Falls,cherrapunjee sohra famous specially waterfall visited fall day sunny got clear view seven falls clearly origin falls eco park view green valley,5,Anonymous,,"Cherrapunjee (Sohra) is famous specially for this waterfall. When I visited this fall, the day was sunny so I got clear view of all seven falls. You can clearly see the origin of these falls which is Eco park. View of green valley is also...",gol
2915,2916,Sohra,Rainbow Falls,worth trek approximately k steps reach rainbow waterfall strenuous worth sun rays falls gushing milky white waterfall beautiful rainbow formed drop waterfall crystal,4,Anonymous,,"its worth to trek approximately 5k steps to reach Rainbow waterfall. its strenuous but worth it. when sun rays falls on part of gushing milky white waterfall , you can see beautiful rainbow formed with the back drop waterfall and at the bottom of crystal...",bas
2916,2917,Sohra,Sa-I-Mika Park,cherrapunji meghalaya alumni meet decided stay sa mika based recommendation experience friends experience place designed like set straight western movie,5,Anonymous,,"While in Cherrapunji, Meghalaya for our Alumni Meet, we decided to stay at Sa-I-Mika, based on the recommendation and experience of one of our friends.
And what an experience it was ! The place is designed like a set straight out of a Western Movie...",gol
2917,2918,Sohra,Ramakrishna Mission Ashrama,centre ramkrihna mission ashram set years propagating ideas sri ramakrishna swami vivekananda people area centre boy school propagating education small museum items collected,3,Anonymous,,"A centre of Ramkrihna Mission Ashram  set up more than 50 years back  propagating the ideas of Sri Ramakrishna and Swami Vivekananda among the people of the area.
The centre has a boy's school for propagating education.It has a small museum with items collected from...",dex
2918,2919,Sohra,Thangkharang Park,beautiful park birds flowers green house specially demonstrated pitcher plant,4,Anonymous,,A beautiful park full of birds and flowers.There is a green house also.Specially demonstrated pitcher plant.,bas
2919,2920,Sohra,Wah Kaba Falls,falls cross stairs bit risky specially rainy season saw falls tiredness gone presented nice view,3,Anonymous,,"To see the falls, one is to cross more than hundred stairs. It is a bit risky specially in the rainy season but when we saw the falls, all of our tiredness were gone. It presented a nice view.",dex
2920,2921,Sohra,Nongsawlia Church,nongsawlia church popular religious destination cherrapunji oldest church meghalaya established church visited number tourists world,4,Anonymous,,Nongsawlia church is a popular religious destination in Cherrapunji.  It is the oldest church in Meghalaya and was established in 1848. This Church is visited by a number of tourists all around the world.,bas
2921,2922,Sohra,Wakaba Falls,finest waterfall nohkalikai sohra little trekking steps require beauty falls actually falls halfway real gem worth pain steps,4,Anonymous,,"Another finest waterfall, after Nohkalikai in Sohra.. Little trekking of almost 400 steps would require to see beauty of this falls (Actually there are two falls, one on the halfway, and real gem at the last).... But its worth the pain... Steps are not that...",bas
2922,2923,Sohra,Tombs of Welsh Missionaries,nice place spend time walk place feels relaxing gives peace mind,5,Anonymous,,This is a nice place to spend time. We can have a walk around this place which feels relaxing and gives peace of mind.,gol
2923,2924,Cherthala,Thiruvizha Sree Mahadeva Temple,heard place near home district drove afternoon looked like temples believed people control evil spirits gets cured,2,Anonymous,,I have heard about this place and since it was near our home district we drove there one afternoon. For me it looked like other temples around. It is believed people under control of evil spirits gets cured here.,fuk
2924,2925,Sohra,Wei Sawdong,u visit difficulties faced u visit children advised visit couple nice place bath fun sweet heart,5,Anonymous,,U can visit but some difficulties will be faced when u visit with children. So i advised to visit only couple.Nice place for bath and fun with your sweet heart.,gol
2925,2926,Cherthala,Arthunkal Beach,excellent place visit enjoy calm rough sea irrespective time pm natives operative,5,Anonymous,,"An excellent place to visit. You can enjoy the calm as well as rough sea, irrespective of time (except after 7 pm). Natives are co-operative",gol
2926,2927,Cherthala,Mararikulam Sree Mahadeva Temple,nicer places visit dirty unfriendly place glad away noise place awful,2,Anonymous,,"There are much nicer places to visit than this dirty unfriendly place.
I was glad to get away. Also the noise from the place is just awful.",fuk
2927,2928,Cherthala,"St Thomas Syro-Malabar Catholic Church ,Kokkamangalam",good religious place good ambience clean tidy upkeep divine atmosphere believers disciplined,5,Anonymous,,Good religious place with good ambience. Clean and tidy upkeep. Divine atmosphere. The believers are well disciplined.,gol
2928,2929,Cheyyar,Vedapureeswarar Temple,temple history states nayanmars turned palm tree pollinatable tree local belief tie knot tree leaves wish come true fine,4,Anonymous,,The temple history states that one of the nayanmars turned a palm tree into pollinatable tree. And its a a local belief if you tie a knot in the tree leaves your wish will come true(if you can fine empty one),bas
2929,2930,Cheruthuruthi,Asuankundu Dam,searching relaxation good choice near really excellent greenish,5,Anonymous,,"if your searching for relaxation... there is no there good choice near by, really excellent and greenish",gol
2930,2931,Chettikulam,Sri Bala Dhandayuthapani Swamy Temple,lord murugan temple situated small hill climb steps reach temple vehicles people hill place scenic great view sunrise sunsets,4,Anonymous,,This is Lord Murugan temple  situated in a small hill. One has to climb around 200 steps to reach the temple. Vehicles can also take people to the top of the hill. The place is very scenic and a great view during Sunrise and Sunsets...,bas
2931,2932,Cheyyar,Sri Nava Narasimhar Temple,temple visit surprise way arni heard temple planned look good decision temple old climb steps idol lot,4,Anonymous,,"The temple visit was a surprise one. while on the way to Arni, We heard about this temple and planned to have a look. It was a good decision. The temple is old and you have to climb steps to see the idol. And lot...",bas
2932,2933,Chhatarpur,Arhanta Yoga Ashram,arhanta yoga given looking quiet place beautiful india isolated world focus important things basic facilities feed laziness teachers professional great teaching techniques keeps,5,Anonymous,,"Arhanta Yoga has given me everything I was looking for. A quiet place in beautiful India.
Isolated from the world so you can focus on the important things.
Basic facilities that doesn’t feed laziness. The teachers are professional and have great teaching techniques that keeps...",gol
2933,2934,Chhachhrauli,Chhachhrauli Fort,historic places chhachrauli near yamuna nagar haryana big disappointment historic place shambles condition fort poor ruins wish government haryana,1,Anonymous,,"This is one of the Historic places in Chhachrauli near Yamuna Nagar, Haryana. It is a big disappointment to see such a historic place in shambles. The condition of the fort is very poor and it is in ruins. I wish Government of Haryana do...",wil
2934,2935,Chhatarpur,Ken Gharial Sanctuary,situated kms khajuraho sanctuary attractions river ken flowing granite vally beautiful granite hills red gray black colors beautiful waterfalls monsoons,5,Anonymous,,"Situated about 25 kms from Khajuraho, this Sanctuary has so many attractions. You can see river Ken flowing in the Granite Vally. You can see beautiful Granite hills in Red, Gray and Black colors.  You can see beautiful waterfalls (During Monsoons). You can also see...",gol
2935,2936,Chhatarpur,Matangesvara Temple,lucky land khajuraho saturday attend evening aati hrs temple ft high shivling priest similar length buried ground form,4,Anonymous,,Were lucky to land up in Khajuraho on a Saturday and could attend the evening Aati at 1915 hrs.It  is the only temple with a 7 ft high shivling and as per the priest similar length is buried under the ground.This does form the part...,bas
2936,2937,Chhatarpur,Raneh Falls,raneh waterfalls visit khajuraho engaged tuk tuk going return cost rs entry charge rs ken ghariyal sanctuary closed time,4,Anonymous,,Raneh waterfalls is a must visit if you are in Khajuraho. We had engaged a tuk tuk for going and return. It cost us Rs. 550. There is an entry charge of Rs. 400. The Ken Ghariyal sanctuary was closed at this time of the...,bas
2937,2938,Chhatarpur,Maharaja Chhatrasal Museum,barely kms world heritage monuments khajuraho museum surrounding places amazing artifacts ranged sculptures th century paintings dresses recent th century amusement gallery,4,Anonymous,,"This is barely 50-60 Kms from the world heritage monuments of Khajuraho. 

This museum and the surrounding places is so amazing! 
The artifacts ranged from sculptures from 10th century to paintings and dresses as recent as 18th century and everything in between. 

The Amusement gallery...",bas
2938,2939,Chhatarpur,Gulganj Fort,restored lacks information board hard connect history usually fort open pm seven days week,3,Anonymous,,"Very well restored, however lacks information board so , its hard to connect to its history. 

Usually the fort is open between 8 am- 5 pm on all seven days of the week .",dex
2939,2940,Chhindwara,Jam Sawali Hanuman Mandir,ancient hanuman temple located kilometres city nagpur miss religious popular temples itinerary,4,Anonymous,,"A very ancient Hanuman Temple located around 60 Kilometres from the city of Nagpur is something you should never miss if you are religious! Even if you are not, this is one of the most popular temples around and should be in your itinerary. A...",bas
2940,2941,Chhindwara,Patalkot Valley,patalkot literally meaning hidden space rare valley kind sparsely inhabited primitive tribe called bharia place untouched hidden outside world till quarter th century tribe connected neighbors outside,4,Anonymous,,"Patalkot, literally meaning a hidden space, is a rare valley of its kind sparsely inhabited by primitive tribe called Bharia. This place was untouched and hidden from outside world till last quarter of 20th century. The tribe were not connected even from there neighbors outside...",bas
2941,2942,Chhatikara,Maa Vaishno Devi Dham,auspicious place maintain jay kay group entry fees language charges feel free inconvenience swaroop maa,3,Anonymous,,"this is auspicious place. It is maintain by Jay Kay Group.
There is no entry fees & language charges. So feel free to any inconvenience. 
Here all nine swaroop of Maa.",dex
2942,2943,Chhindwara,Chota Mahadev Cave,chota mahadev cave excellent place visit relax chill beautiful peaceful place visit natural beauty,5,Anonymous,,This chota mahadev cave is an excellent place to visit to relax and chill. It is very beautiful and peaceful place to visit. Full of natural beauty.,gol
2943,2944,Chhindwara,101 Ft. Hanuman Idol,tall feet red coloured idol near chindwada nagpur chindwada road built efforts funding sri kamalnath congress p chief minister madtya pradesh spread acres land beutiful,3,Anonymous,,"This is very tall 101  feet red coloured idol near to chindwada on nagpur chindwada road.This has been built up with the efforts and funding by Sri Kamalnath,then congress M.P. and now Chief Minister of Madtya Pradesh.Its spread over many acres land and a beutiful...",dex
2944,2945,Chidambaram,Annamalai University,established university huge campus area offering ug pg diploma courses regular distant mode education university near chidambaram railway station,4,Anonymous,,"Its a well established university with a huge campus area offering many UG, PG, diploma courses through regular and distant mode of education. The university is very near to Chidambaram railway station.",bas
2945,2946,Chhindwara,Kukdi Khapa Waterfall,visited place days heavy rain water flow medium good scenic place basically rainy season place known advised place near km nagpur nagpur chhindwara,4,Anonymous,,"We visited this place 2-3 days after heavy rain. Water flow was medium. Good scenic place, basically in rainy season. The place is not well much known. But advised to see it .The place is near about 100km from Nagpur. It is on Nagpur Chhindwara...",bas
2946,2947,Chhindwara,Shri Badal Bhoi State Tribal Museum,good understand culture flora fauna area collections visit place history lovers,4,Anonymous,,"Good to understand the culture, flora and fauna of the Area from the collections.A must visit place for history lovers.",bas
2947,2948,Chicolna,Heart Shaped Lake,situated rock beach chicolna vasco gama km roads decent walk minutes reach lake peaceful crowded compared attractions goa,4,Anonymous,,"situated at the rock beach of Chicolna, in Vasco de gama.

last 2 km roads are not that decent. you have to walk around 10-12 minutes to reach the lake,

it was very peaceful and less crowded as compared to any other attractions in Goa...",bas
2948,2949,Chidambaram,Chathapurinathar Temple,old architecture tells chola dynast efforts building temples stone walls really impress sculptures,4,Anonymous,,"Old architecture that tells us about the chola dynast and their efforts in building temples.
Stone walls really impress you with the sculptures on them.",bas
2949,2950,Chidambaram,Pichavaram Mangrove Forest,went pichavaram mangrove forests second largest mangrove forest world pichavaram located tourist trail totally worth effort enchanted complex river canal network bind beautiful place,5,Anonymous,,"I went to Pichavaram Mangrove Forests. The second largest Mangrove forest in the world, Pichavaram is located off the tourist trail but is totally worth the effort. One can be enchanted by the complex river system and canal network that bind this beautiful place together...",gol
2950,2951,Chidambaram,"Learn kayak, StandupPaddle, Surf & Outdoor camps",best thing chidambaram learn paddle master paddled world,4,Anonymous,,One of the best thing to do in chidambaram ......you can learn to paddle from the master who paddled throughout the world..,bas
